AGE;GNDR;ADMIT;COLLEGE;STUDENT_MAJOR;DIPLOMA_DESCRIPTION;STUDENT_LEVEL;SCHOOL;SCHOOL_CITY;CITIZENSHIP
27;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;UAE University;Al Ain;UAE-Um Alquwain
29;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor of Arts;Graduate;Ajman Univ of Science;AJMAN;UAE-Sharjah
32;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police Sciences Academy;SHARJAH;UAE-Sharjah
32;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police Sciences Academy;SHARJAH;UAE-Sharjah
29;N;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Islamic & Arabic Studies Coll;DUBAI;UAE-Ras Alkhaimah
34;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Islamic & Arabic Studies Coll;DUBAI;UAE-Abu Dhabi
32;N;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police Sciences Academy;SHARJAH;UAE-Sharjah
33;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police Sciences Academy;SHARJAH;UAE-Sharjah
26;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor of Arts;Graduate;University of Sharjah;SHARJAH;Non Citizen
36;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Ajman Univ of Science;AJMAN;UAE-Abu Dhabi
28;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;UAE University;Al Ain;UAE-Sharjah
29;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Islamic & Arabic Studies Coll;DUBAI;UAE-Abu Dhabi
26;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Islamic & Arabic Studies Coll;DUBAI;UAE-Al Fujairah
27;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Islamic & Arabic Studies Coll;DUBAI;UAE-Al Fujairah
25;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police College In Abu Dhabi;ABU DHABI;UAE-Sharjah
26;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;University of Sharjah;SHARJAH;UAE-Sharjah
32;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police Sciences Academy;SHARJAH;UAE-Sharjah
33;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police Sciences Academy;SHARJAH;UAE-Sharjah
32;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police Sciences Academy;SHARJAH;UAE-Sharjah
34;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police Sciences Academy;SHARJAH;UAE-Sharjah
40;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Ajman Univ of Science;AJMAN;UAE-Abu Dhabi
35;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police Sciences Academy;SHARJAH;UAE-Sharjah
24;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police Sciences Academy;SHARJAH;UAE-Sharjah
32;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police Sciences Academy;SHARJAH;UAE-Sharjah
41;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;UAE University;Al Ain;UAE-Sharjah
31;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;UAE University;Al Ain;UAE-Abu Dhabi
25;M;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Police Sciences Academy;SHARJAH;UAE-Sharjah
34;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;UAE University;Al Ain;UAE-Sharjah
57;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;Graduate;Kuwait University;;UAE-Sharjah
